question,answer
"Dr N.G.P. Institute of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Government College of Engineering Chettikkarai Post Dharmapuri District 635704","tier:2, district:Dharmapuri, college_type:GOVT"
"Meenakshi Sundararajan Engineering College (Autonomous), C/O I.I.E.T Society No.363, Arcot Road, Kodambakkam, Chennai-600024.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Rathinam Technical Campus (Autonomous), Rathinam Techzone Campus, Pollachi Road, Eachanari, Coimbatore-641021.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019","tier:4, district:Madurai, college_type:SF"
"K. Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Tiruchirappalli-621112.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Hindusthan Institute of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Government College of Engineering Gandarvakottai Road Sengipatti Thanjavur District 613402","tier:3, district:Thanjavur, college_type:GOVT"
"Sri Sai Ram Institute of Technology (Autonomous), Sai Leo Nagar, Dharkast Road, West Tambaram, Kanchipuram, Chennai-600044.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"KCG college of Technology (Autonomous), Rajiv Gandhi Salai, Karapakkam, Chennai-600097.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552","tier:2, district:Chennai, college_type:SF"
"SNS College of Technology (Autonomous), Sathy Main Road, Vazhiyampalayam, Saravanampatti Post, Coimbatore-641035.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Government College of Engineering Melachokkanathapuram Bodinayakkanur Theni District 625582","tier:4, district:Theni, college_type:GOVT"
"St. Joseph's Institute of Technology (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"St. Xavier's Catholic College of Engineering (Autonomous), Chunkankadai, Kanyakumari District, Nagercoil-629003.","tier:3, district:Kanyakumari, college_type:AUTONOMOUS"
"P.T.Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kanchipuram District-631502.","tier:2, district:Kanchipuram, college_type:SF"
"M.Kumarasamy College of Engineering (Autonomous), Thalavapalayam Post,Punjai Thottakkurichi Village, Karur Tk, Karur-639113.","tier:2, district:Unknown, college_type:AUTONOMOUS"
"Builders Engineering College (Autonomous), EBET Knowledge Park, Erode Road Nathakadaiyur, Kangeyam, Tiruppur-638108.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore","tier:1, district:Cuddalore, college_type:SF"
"SNS College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"V S B Engineering College (Autonomous), N.H.67, Covai Road, Karudayampalayam (Village & Post), Aravakurichi (TK), Karur-639111.","tier:2, district:Unknown, college_type:AUTONOMOUS"
"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"University College of Engineering Nagercoil Nagercoil Industrial Estate Konam Kanyakumari District 629004","tier:3, district:Kanyakumari, college_type:SF"
"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001","tier:2, district:Thiruvallur, college_type:SF"
"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(via), Coimbatore-641109.","tier:2, district:Coimbatore, college_type:SF"
"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Perur Chettipalayam, Coimbatore-641010.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.","tier:3, district:Kanchipuram, college_type:SF"
"Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET) Guindy Chennai 600032","tier:2, district:Chennai, college_type:SF"
"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.","tier:2, district:Thiruvallur, college_type:SF"
"Francis Xavier Engineering College (Autonomous), 103 G2, By Pass Road, Vannarpettai, Tirunelveli-627003.","tier:3, district:Tirunelveli, college_type:AUTONOMOUS"
"Vivekanandha College of Engineering for Women (Autonomous), Sathiyanaickenpalayam Village, Elayampalayam, Tiruchengode, Namakkal District-637205.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"Coimbatore Institute of Engineering and Technology (Autonomous), Vellimalaipattinam, Narasipuram Post, Thondamuthur Via, Coimbatore-641109.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"RAMCO Institute of Technology, North Venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar-626117.","tier:3, district:Virudhunagar, college_type:SF"
"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.","tier:2, district:Kanchipuram, college_type:AUTONOMOUS"
"Dr Sivanthi aditanar College of Engineering, Tirunelveli Road, Tiruchendur, Thoothukudi-628215.","tier:3, district:Tirunelveli, college_type:SF"
"Nehru Institute of Engineering and Technology (Autonomous), Nehru Gardens, Thirumalayampalayam (Post), Coimbatore-641105.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"K S Rangasamy College of Technology (Autonomous), K.S.R Kalvi Nagar, Thokkavadi, Tiruchengode Tk, Namakkal-637215.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"KIT - Kalaignarkarunanidhi Institute of Technology (Autonomous), S.F.No. 282,S.F.No. 283 Kannampalayam Post, Coimbatore-641402.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Sri Shakthi Institute of Engineering and Technology (Autonomous), Sri Shakthi Nagar, L & T By-pass Road, Chinniyampalayam Post, Coimbatore-641062.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Knowledge Institute of Technology (Autonomous), KIOT Campus, Kakapalayam (PO), Salem-637504.","tier:2, district:Salem, college_type:AUTONOMOUS"
"University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326","tier:2, district:Thiruvallur, college_type:SF"
"K.L.N.College of Engineering (Autonomous), Madurai - Nedunkulam Road, Pottapalayam, Sivagangai District-630611.","tier:4, district:Madurai, college_type:AUTONOMOUS"
"Kamaraj College of Engineering and Technology (Autonomous), S.P.G.C.Nagar Post Box12, K.Vellakulam, Virudhunagar-626001.","tier:3, district:Virudhunagar, college_type:AUTONOMOUS"
"Velalar College of Engineering and Technology (Autonomous), Perundurai Road Thindal Post, Erode-638012.","tier:2, district:Erode, college_type:AUTONOMOUS"
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305.","tier:3, district:Nagapattinam, college_type:SF"
"C.K. College of Engineering & Technology, Jayaram Nagar, Chellangkuppam, Cuddalore-607003.","tier:3, district:Cuddalore, college_type:SF"
"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.","tier:2, district:Chennai, college_type:SF"
"SRM TRP Engineering College Irungalur Manachanallur Taluk Tiruchirappalli District 621105","tier:3, district:Kanchipuram, college_type:SF"
"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"SRM Madurai College for Engineering and Technology, Pottapalayam Village, Manamadurai Taluk, Sivagangai District-630611.","tier:4, district:Madurai, college_type:SF"
"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"IFET College of Engineering (Autonomous), IFET Nagar, Gangarampalayam, Valavanur Post, Villupuram District-605108.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.","tier:2, district:Thiruvallur, college_type:AUTONOMOUS"
"Paavai Engineering College (Autonomous), NH-7, Paavai Nagar, Pachal, Namakkal-637018.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"Loyola Institute of Technology, Palanchur, Mevalurkuppam, B village, Nazarathpet Post, Sriperumpudur Taluk, Kanchipuram District, Chennai-600123.","tier:2, district:Chennai, college_type:SF"
"University College of Engineering Dindigul Mangarai Pirivu Reddiyarchathiram Dindigul District 62462"2,"tier:4, district:Dindigul, college_type:SF"
"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti, Thottiam, Tiruchirappalli-621215.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"University College of Engineering Pattukkottai ECR Road Rajamadam Pattukkottai Taluk Thanjavur District 614701","tier:3, district:Thanjavur, college_type:SF"
"K Ramakrishnan College of Technology (Autonomous), Kariyamanickam Road, Mannachanallur Taluk, Tiruchirappalli-621112.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Misrimal Navajee Munoth Jain Engineering College, Guru Marudhar Kesari Building, Jyothi Nagar, Thorapakkam, Chennai-600097.","tier:2, district:Chennai, college_type:SF"
"Indian Institute of Handloom Technology Foulke's Compound Thillai Nagar Salem District 636001","tier:2, district:Salem, college_type:SF"
"Mailam Engineering College, Mailam, Tindivanam Taluk, Villupuram District-604304.","tier:2, district:Chennai, college_type:SF"
"Rohini College of Engineering and Technology (Autonomous), Palkumlam, Variyoor Post, Kanyakumari-629401.","tier:3, district:Kanyakumari, college_type:AUTONOMOUS"
"AAA College of Engineering and Technology, Amathur Village, Sivakasi, Virudhunagar-626123.","tier:3, district:Virudhunagar, college_type:SF"
"Kingston Engineering College, Chittoor Main Road, Chiristianpet Village, Mettukulam Panchayat, Katpadi Taluk, Vellore District-632059.","tier:2, district:Vellore, college_type:SF"
"University V.O.C. College of Engineering Thoothukudi Near V.O.C. College Millerpuram Thoothukudi District 628008","tier:3, district:Unknown, college_type:SF"
"University College of Engineering Panruti Chennai-Kumbakonam Highway Panikkankuppam Panruti Cuddalore District 607106","tier:3, district:Chennai, college_type:SF"
"Nehru Institute of Technology (Autonomous), Jawahar Gardens, Kaliapuram, Thirumalayampalayam, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Mohamed Sathak A J College of Engineering (Autonomous), #34, Rajiv Gandhi Road(OMR), IT Highway, Siruseri, Egattur, Chennai-603103.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Adhiyamaan College of Engineering (Autonomous) Aeri Campus Dr.M.G.R.Nagar Hosur Krishnagiri District-635109.","tier:2, district:Krishnagiri, college_type:AUTONOMOUS"
"Er. Perumal Manimekalai College of Engineering (Autonomous), 17th Km Hosur - Krishnagiri NH7, Nallaganakothapalli, Near Koneripalli, Hosur Taluk, Krishnagiri District-635117.","tier:2, district:Krishnagiri, college_type:AUTONOMOUS"
"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Mohamed Sathak Engineering College, Sathak Nagar, East Coast Road, Pudhu Mayakulam, Kilakarai, Ramanathapuram District-623806.","tier:4, district:Chengalpattu, college_type:SF"
"Syed Ammal Engineering College (Autonomous), Dr. E.M.Abdullah Campus, Lanthai, Achunthanvayal Post, Ramanathapuram-623502.","tier:4, district:Chengalpattu, college_type:AUTONOMOUS"
"K S R College of Engineering (Autonomous), K S R Kalvi Nagar, Thokkavadi, Tiruchengode, Namakkal Dist-637215.","tier:2, district:Namakkal, college_type:AUTONOMOUS"
"C.Abdul Hakeem College of Engineering and Technology, Hakeem Nagar, Melvisharam, Vellore -632509.","tier:2, district:Vellore, college_type:SF"
"V.S.B. College of Engineering Technical Campus (Autonomous), S.F. No.91/2A,91/2B,252, 253/1, Solavampalayam Village, Kinathukadavu, Pollachi Taluk, Coimbatore District-642109.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"P.S.V.College of Engineering and Technology, Mittapalli, Balinayanapalli Post, Krishnagiri-635108.","tier:2, district:Krishnagiri, college_type:SF"
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Dhanalakshmi Srinivasan College of Engineering (CBE), NH-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:SF"
"Annai Mira College of Engineering and Technology, Arappakkam Village, Arcot Road, Walaja Taluk, Vellore District-632517.","tier:2, district:Vellore, college_type:SF"
"P.S.R. Engineering College (Autonomous), Appayanaickenpatty, Sevalpatty, Sivakasi, Virudhunagar District -626140.","tier:3, district:Virudhunagar, college_type:AUTONOMOUS"
"Sethu Institute of Technology (Autonomous), Pulloor, Kariapatti, Virudhunagar-626115.","tier:3, district:Virudhunagar, college_type:AUTONOMOUS"
"Velammal Institute of Technology, Chennai - Kolkatta Highway, Pancheeti Village, Ponneri Taluk, Thiruvallur District-601204.","tier:2, district:Chennai, college_type:SF"
"University College of Engineering Ariyalur Kathankudikadu Village Thelur Post Ariyalur District 621704","tier:3, district:Kanchipuram, college_type:SF"
"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur, Manachanallur Taluk, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:SF"
"Ponjesly College of Engineering, Near Parvathipuram, Alamparai, Veturnimadam Post, Nagercoil-629003.","tier:3, district:Chengalpattu, college_type:SF"
"Mount Zion College of Engineering and Technology, Lena vilakku, Pilivalam Post, Pudukkottai-622507.","tier:3, district:Pudukkottai, college_type:SF"
"SSM Institute of Engineering and Technology, Kuttathupatti Village, Begambur Post, Dindigul Taluk & District-624002.","tier:4, district:Dindigul, college_type:SF"
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.","tier:2, district:Chengalpattu, college_type:AUTONOMOUS"
"Arunachala College of Engineering for Women, Thanka Gardens, Manavilai, Vellichanthai, Nagercoil, Kanyakumari District-629203.","tier:3, district:Kanyakumari, college_type:SF"
"R V S Technical Campus Coimbatore, Kumaran Kottam Campus, Kannampalayam, Sulur, Coimbatore-641402.","tier:2, district:Coimbatore, college_type:SF"
"CARE College of Engineering (Autonomous), No.27, Thayanoor village, Kuttapatti, Tiruchirappalli-620009.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Meenakshi College of Engineering, 12,Vembuli Amman Koil Street, West K K Nagar, Chennai-600078.","tier:2, district:Chennai, college_type:SF"
"Mangayarkarasi College of Engineering, 7-1-139, 1st Street, Mangayarkarasi Nagar, Paravai, Madurai-625402.","tier:4, district:Madurai, college_type:SF"
"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Nandha Engineering College (Autonomous), 28, Chennimalaipalayam Road, Pitchandampalayam Post, Erode-638052.","tier:2, district:Erode, college_type:AUTONOMOUS"
"Nadar Saraswathi College of Engineering and Technology, Vadapudupatti, Annanji Post, Theni -625531.","tier:4, district:Theni, college_type:SF"
"Chettinad College of Engineering and Technology, NH-67, Karur to Trichy Highways, Puliyur CF, Karur-639114.","tier:2, district:Trichy, college_type:SF"
"Paavai College of Engineering, Paavai Nagar, NH-7,Pachal, Namakkal-637018.","tier:2, district:Namakkal, college_type:SF"
"University College of Engineering Ramanathapuram Pullangudi Ramanathapuram District 623513","tier:4, district:Chengalpattu, college_type:SF"
"M A M College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:SF"
"MRK Institute of Technology, Nattarmangalam Post, Kattumannarkoil, Cuddalore-608301.","tier:3, district:Cuddalore, college_type:SF"
"Arunai Engineering College, Chittor-Cuddalore Raod, Mathur, Tiruvannamalai-606603.","tier:2, district:Cuddalore, college_type:SF"
"JCT College of Engineering and Technology (Autonomous), Pichanur, Coimbatore South Taluk, Coimbatore-641105.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"J.J. College of Engineering and Technology, Ammapettai, Poolankulathupatti Post, Tiruchirappalli-620009.","tier:3, district:Kanchipuram, college_type:SF"
"E.G.S. Pillay Engineering College (Autonomous), Old Nagore Road, Nagore Post, Nagapattinam District-611002.","tier:3, district:Nagapattinam, college_type:AUTONOMOUS"
"M.A.M. School of Engineering (Autonomous), Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.","tier:3, district:Chennai, college_type:AUTONOMOUS"
"PERI Institute of Technology (Autonomous), Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.","tier:2, district:Chennai, college_type:AUTONOMOUS"
"Arasu Engineering College, Chennai Main Road, Thiruvisanallur - Village, Thiruvidaimaruthur - Taluk, Kumbakonam,Thanjavur-612501.","tier:3, district:Chennai, college_type:SF"
"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur-621212.","tier:3, district:Kanchipuram, college_type:AUTONOMOUS"
"Tagore Engineering College, Rathinamangalam, Vandalur, Kanchipuram, Chennai-600127.","tier:2, district:Chennai, college_type:SF"
"Kathir College of Engineering (Autonomous), WISDOM TREE, Avinashi Road, Neelambur, Coimbatore-641062.","tier:2, district:Coimbatore, college_type:AUTONOMOUS"
"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.","tier:2, district:Chennai, college_type:SF"
